,sentences
3688,"['ApoB', 'protein', 'was', 'detected', 'within', 'HBL', 'hepatocytes', 'utilizing', 'immunohistochemical', 'techniques', ';', 'however', ',', 'it', 'was', 'markedly', 'reduced', 'in', 'quantity', 'when', 'compared', 'with', 'control', 'samples']"
3689,"['No', 'apoB', 'was', 'detectable', 'in', 'the', 'plasma', 'of', 'HBL', 'individuals', 'with', 'an', 'ELISA', 'assay']"
3690,"['These', 'data', 'are', 'most', 'consistent', 'with', 'a', 'mutation', 'in', 'the', 'coding', 'portion', 'of', 'the', 'apoB', 'gene', 'in', 'HBL', 'patients', ',', 'leading', 'to', 'an', 'abnormal', 'apoB', 'protein', 'and', 'apoB', 'mRNA', 'instability']"
3691,"['These', 'results', 'are', 'distinct', 'from', 'those', 'previously', 'noted', 'in', 'abetalipoproteinemia', ',', 'which', 'was', 'characterized', 'by', 'an', 'elevated', 'level', 'of', 'hepatic', 'apoB', 'mRNA', 'and', 'accumulation', 'of', 'intracellular', 'hepatic', 'apoB', 'protein']"
3692,[]
3693,"['Spontaneous', 'reversion', 'of', 'novel', 'Lesch-Nyhan', 'mutation', 'by', 'HPRT', 'gene', 'rearrangement.', 'Molecular', 'analysis', 'of', 'an', 'unusual', 'patient', 'with', 'the', 'Lesch-Nyhan', 'syndrome', 'has', 'suggested', 'that', 'the', 'mutation', 'is', 'due', 'to', 'a', 'partial', 'HPRT', 'gene', 'duplication']"
3694,"['We', 'now', 'report', 'the', 'cloning', 'and', 'sequencing', 'of', 'the', 'mutant', 'HPRT', 'cDNA', 'which', 'shows', 'the', 'precise', 'duplication', 'of', 'exons', '2', 'and', '3']"
3695,"['This', 'mutation', 'is', 'the', 'result', 'of', 'an', 'internal', 'duplication', 'of', '16-20', 'kilobases', 'of', 'the', 'gene']"
3696,"['The', 'structure', 'of', 'the', 'mutant', 'gene', 'suggests', 'that', 'the', 'duplication', 'was', 'not', 'generated', 'by', 'a', 'single', 'unequal', 'crossing-over', 'event', 'between', 'two', 'normal', 'HPRT', 'alleles']"
3697,"['Growth', 'of', 'Epstein-Barr', 'virus-transformed', 'lymphoblasts', 'from', 'this', 'patient', 'in', 'selective', 'medium', 'has', 'permitted', 'isolation', 'of', 'spontaneous', 'HPRT', '+', 'revertants', 'of', 'this', 'mutation']"
3698,"['The', 'reversion', 'event', 'involves', 'a', 'second', 'major', 'HPRT', 'gene', 'rearrangement', 'where', 'most', 'or', 'all', 'of', 'the', 'duplicated', 'portion', 'of', 'the', 'mutant', 'gene', 'is', 'deleted']"
3699,"['The', 'original', 'mutation', 'therefore', 'has', 'the', 'potential', 'for', 'spontaneous', 'somatic', 'reversion']"
3700,"['This', 'may', 'explain', 'the', 'relatively', 'mild', 'symptoms', 'of', 'the', 'Lesch-Nyhan', 'syndrome', 'exhibited', 'by', 'this', 'patient']"
3701,[]
3702,"['Complex', 'glycerol', 'kinase', 'deficiency', ':', 'molecular-genetic,', 'cytogenetic,', 'and', 'clinical', 'studies', 'of', 'five', 'Japanese', 'patients.', 'Five', 'male', 'Japanese', 'patients', 'with', 'complex', 'glycerol', 'kinase', 'deficiency', '(', 'CGKD', ')', 'and', 'their', 'relatives', 'were', 'studied', 'clinically', ',', 'cytogenetically', ',', 'and', 'molecular-genetically']"
3703,"['All', 'patients', 'had', 'muscular', 'dystrophy', 'or', 'muscle', 'weakness', ',', 'mental', 'retardation', ',', 'congenital', 'adrenal', 'hypoplasia', ',', 'and', 'glycerol', 'kinase', 'deficiency']"
3704,"['High-resolution', 'GTG-banded', 'chromosomes', 'showed', 'a', 'microdeletion', 'in', 'the', 'Xp21', 'region', 'in', 'all', 'four', 'patients', 'examined', 'and', 'in', 'all', 'five', 'mothers']"
3705,"['Southern', 'hybridizations', ',', 'after', 'digestions', 'by', 'restriction', 'endonucleases', ',', 'with', 'various', 'cloned', 'DNAs', '(', 'D2', ',', '99-6', ',', 'B24', ',', 'C7', ',', 'L1-4', ',', 'cDMD13-14', ',', 'J66-HI', ',', 'P20', ',', 'J-Bir', ',', 'ERT87-30', ',', 'ERT87-15', ',', 'ERT87-8', ',', 'ERT87-1', ',', 'XJ-1']"
3706,"['1', ',', '754', ',', 'cx5']"
3707,"['7', ',', 'and', 'OTC-1', ')', 'that', 'are', 'located', 'around', 'Xp21', 'also', 'showed', 'a', 'deletion', 'in', 'the', 'genome', 'of', 'all', 'patients', 'and', 'mothers']"
3708,"['Although', 'the', 'deletion', 'differed', 'in', 'size', 'among', 'patients', ',', 'a', 'segment', 'commonly', 'absent', 'was', 'located', 'between', 'the', 'genomic', 'sequences', 'corresponding', 'to', 'L1-4', 'and', 'cDMD13-14']"
3709,"['This', 'finding', 'indicated', 'that', 'the', 'gene', 'coding', 'for', 'glycerol', 'kinase', '(', 'GK', ')', 'is', 'located', 'within', 'this', 'segment']"
3710,"['A', 'comparison', 'of', 'the', 'clinical', 'manifestations', 'of', 'the', 'present', 'five', 'patients', 'and', 'reported', 'CGKD', 'or', 'Duchenne', 'muscular', 'dystrophy', '(', 'DMD', ')', 'patients', 'with', 'DNA', 'deletion', 'suggests', 'the', 'existence', 'of', 'a', 'certain', 'gene', 'responsible', 'for', 'gonadotropin', 'deficiency', '(', 'GTD', ')']"
3711,"['The', 'result', 'of', 'the', 'present', 'study', 'and', 'results', 'of', 'previous', 'studies', 'suggest', 'that', 'genes', 'for', 'ornithine', 'transcarbamylase', '(', 'OTC', ')', ',', 'DMD', ',', 'and', 'GK', 'and', 'putative', 'genes', 'responsible', 'for', 'congenital', 'adrenal', 'hypoplasia', '(', 'AHC', ')', 'and', 'GTD', 'are', 'arranged', 'from', 'telomere', 'to', 'centromere', 'as', 'pter--GTD--AHC--GK--DMD--OTC--cen', 'Genetically', 'determined', 'low', 'C4:', 'a', 'predisposing', 'factor', 'to', 'autoimmune', 'chronic', 'active', 'hepatitis']"
3712,"['Of', '26', 'patients', 'with', 'autoimmune', 'chronic', 'active', 'hepatitis', '(', 'CAH', ')', 'starting', 'in', 'childhood', '18', '(', '69', '%', ')', 'had', 'low', 'C4', 'and', '5', '(', '19', '%', ')', 'had', 'low', 'C3', 'serum', 'levels']"
3713,"['Impaired', 'hepatic', 'synthesis', 'and', 'immune-consumption', 'were', 'unlikely', 'since', 'transferrin', 'levels', 'were', 'normal', 'in', 'all', 'patients', ',', 'albumin', 'levels', 'were', 'persistently', 'low', 'in', 'only', '3', ',', 'and', 'only', '3', 'had', 'raised', 'levels', 'of', 'activation', 'fragment', 'C3d']"
3714,"['C4d', 'was', 'normal', 'in', 'all', 'patients', 'studied']"
3715,"['In', 'the', 'families', 'of', '12', 'probands', 'with', 'low', 'C4', ',', '7', 'parents', 'had', 'low', 'C4', 'and', '2', 'had', 'levels', 'which', 'were', 'at', 'the', 'lower', 'limit', 'of', 'normal']"
3716,"['5', 'of', '10', 'siblings', 'from', '5', 'families', 'had', 'low', 'C4']"
3717,"['These', 'results', 'suggest', 'that', 'low', 'C4', 'levels', 'in', 'CAH', 'are', 'genetically', 'determined']"
3718,"['C4', 'phenotyping', 'in', '20', 'patients', 'and', 'in', '26', 'parents', 'showed', 'that', '90', '%', 'and', '81', '%', ',', 'respectively', ',', 'had', nan, 'allotypes', 'at', 'either', 'the', 'C4A', 'or', 'C4B', 'locus', 'compared', 'with', '59', '%', 'in', 'controls', ',', 'indicating', 'that', 'defective', 'expression', 'of', 'structural', 'genes', 'may', 'contribute', 'to', 'the', 'observed', 'C4', 'deficiency']"
3719,[]
3720,"['An', 'amino-acid', 'substitution', 'involved', 'in', 'phenylketonuria', 'is', 'in', 'linkage', 'disequilibrium', 'with', 'DNA', 'haplotype', '2.', 'Phenylketonuria', '(', 'PKU', ')', 'is', 'an', 'autosomal', 'recessive', 'human', 'genetic', 'disorder', 'caused', 'by', 'a', 'deficiency', 'of', 'hepatic', 'phenylalanine', 'hydroxylase', '(', 'PAH', ',', 'phenylalanine', '4-monooxygenase', ',', 'EC', '1']"
3721,['14']
3722,['16']
3723,"['1', ')']"
3724,"['PKU', 'is', 'a', 'common', 'inborn', 'error', 'of', 'amino-acid', 'metabolism', 'in', 'caucasian', 'populations', 'and', 'approximately', '1', 'in', '50', 'individuals', 'are', 'carriers', 'of', 'a', 'PKU', 'allele']"
3725,"['To', 'define', 'the', 'molecular', 'basis', 'of', 'PKU', ',', 'we', 'characterized', 'twelve', 'restriction', 'fragment-length', 'polymorphism', '(', 'RFLP', ')', 'haplotypes', 'of', 'the', 'PAH', 'locus', 'in', 'the', 'northern', 'European', 'population', 'and', 'observed', 'that', '90', '%', 'of', 'the', 'PKU', 'alleles', 'in', 'this', 'population', 'are', 'confined', 'to', 'four', 'common', 'RFLP', 'haplotypes']"
3726,"['We', 'have', 'recently', 'reported', 'a', 'splicing', 'mutation', 'in', 'the', 'PAH', 'gene', 'that', 'is', 'associated', 'with', 'RFLP', 'haplotype', '3', 'which', 'is', 'present', 'at', 'about', '40', '%', 'of', 'mutant', 'alleles']"
3727,"['We', 'now', 'report', 'the', 'molecular', 'lesion', 'associated', 'with', 'the', 'RFLP', 'haplotype', '2', 'mutant', 'allele']"
3728,"['This', 'defect', 'is', 'caused', 'by', 'a', 'C-to-T', 'transition', 'in', 'exon', '12', 'resulting', 'in', 'an', 'amino-acid', 'substitution', '(', 'Arg', 'to', 'Trp', ')', 'at', 'residue', '408', 'of', 'PAH']"
3729,"['Direct', 'hybridization', 'analysis', 'of', 'the', 'point', 'mutation', 'using', 'a', 'specific', 'oligonucleotide', 'probe', 'demonstrated', 'that', 'this', 'mutation', 'is', 'also', 'in', 'linkage', 'disequilibrium', 'with', 'RFLP', 'haplotype', '2', 'alleles', 'that', 'make', 'up', 'about', '20', '%', 'of', 'mutant', 'PAH', 'genes', 'Choroideremia', ':', 'close', 'linkage', 'to', 'DXYS1', 'and', 'DXYS12', 'demonstrated', 'by', 'segregation', 'analysis', 'and', 'historical-genealogical', 'evidence.', 'Linkage', 'studies', 'using', 'restriction', 'fragment', 'length', 'polymorphisms', 'were', 'conducted', 'in', 'the', 'X-linked', 'disorder', ',', 'choroideremia', ',', 'designated', 'TCD', 'for', 'Progressive', 'Tapeto-Choroidal', 'Dystrophy']"
3730,"['Previously', 'demonstrated', 'close', 'linkage', 'with', 'locus', 'DXYS1', 'was', 'confirmed', '(', 'lod', '11']"
3731,"['44', 'at', '0', 'recombination', 'distance', ')']"
3732,"['In', 'addition', ',', 'locus', 'DXYS12', 'was', 'found', 'to', 'be', 'closely', 'linked', 'with', 'TCD', '(', 'lod', '3']"
3733,"['31', 'at', '0', 'recombination', 'distance', ')']"
3734,"['The', 'disease', 'mainly', 'occurs', 'in', 'three', 'large', 'kindreds', 'in', 'remote', 'Northern', 'Finland']"
3735,"['While', 'formal', 'genealogical', 'proof', 'is', 'lacking', ',', 'all', 'presently', 'living', '(', 'more', 'than', '80', 'affected', 'males', 'and', '120', 'carrier', 'females', ')', 'probably', 'originate', 'from', 'a', 'common', 'founder', 'couple', 'born', 'in', '1644', 'and', '1646', ',', 'twelve', 'generations', 'ago']"
3736,"['All', '36', 'patients', 'and', '48', 'carriers', 'tested', 'from', 'the', 'three', 'kindreds', 'had', 'the', 'same', 'haplotype', '(', 'TCD', '/', 'DXYS1', ',', '11kb', '/', 'DXYS12', ',', '1']"
3737,"['6kb', ')']"
3738,"['Given', 'that', 'at', 'least', '105', 'female', 'meioses', 'transmitting', 'TCD', 'have', 'occurred', 'since', '1650', 'in', 'these', 'kindreds', ',', 'extremely', 'close', 'linkage', 'between', 'TCD', ',', 'DXYS1', 'and', 'DXYS12', 'is', 'suggested']"
3739,"['The', 'above', 'haplotype', 'is', 'a', 'very', 'useful', 'diagnostic', 'tool', 'in', 'these', 'TCD', 'families']"
3740,"['We', 'suggest', 'that', 'our', 'historical-genealogical', 'approach', 'to', 'linkage', 'analysis', 'may', 'be', 'possible', 'elsewhere', 'in', 'similar', 'isolated', 'populations', 'Von', 'Hippel-Lindau', 'disease', 'maps', 'to', 'the', 'region', 'of', 'chromosome', '3', 'associated', 'with', 'renal', 'cell', 'carcinoma']"
3741,"['Von', 'Hippel-Lindau', 'disease', '(', 'VHL', ')', 'is', 'an', 'autosomal', 'dominant', 'disorder', 'with', 'inherited', 'susceptibility', 'to', 'various', 'forms', 'of', 'cancer', ',', 'including', 'hemangioblastomas', 'of', 'the', 'central', 'nervous', 'system', ',', 'phaeochromocytomas', ',', 'pancreatic', 'malignancies', ',', 'and', 'renal', 'cell', 'carcinomas']"
3742,"['Renal', 'cell', 'carcinomas', 'constitute', 'a', 'particularly', 'frequent', 'cause', 'of', 'death', 'in', 'this', 'disorder', ',', 'occurring', 'as', 'bilateral', 'and', 'multifocal', 'tumours', ',', 'and', 'presenting', 'at', 'an', 'earlier', 'age', 'than', 'in', 'sporadic', ',', 'non-familial', 'cases', 'of', 'this', 'tumour', 'type']"
3743,"['We', 'report', 'here', 'that', 'the', 'VHL', 'gene', 'is', 'linked', 'to', 'the', 'locus', 'encoding', 'the', 'human', 'homologoue', 'of', 'the', 'RAF1', 'oncogene', ',', 'which', 'maps', 'to', 'chromosome', '3p25', '(', 'ref']"
3744,"['4', ')']"
3745,"['Crossovers', 'with', 'the', 'VHL', 'locus', 'suggest', 'that', 'the', 'defect', 'responsible', 'for', 'the', 'VHL', 'phenotype', 'is', 'not', 'a', 'mutation', 'in', 'the', 'RAF1', 'gene', 'itself']"
3746,"['An', 'alternative', 'or', 'prior', 'event', 'to', 'oncogene', 'activation', 'in', 'tumour', 'formation', 'may', 'be', 'the', 'inactivation', 'of', 'a', 'putative', 'tumour', 'suppressor', 'which', 'can', 'be', 'associated', 'with', 'both', 'the', 'inherited', 'and', 'sporadic', 'forms', 'of', 'the', 'cancer']"
3747,"['Sporadic', 'renal', 'cell', 'carcinomas', 'have', 'previously', 'been', 'associated', 'with', 'the', 'loss', 'of', 'regions', 'on', 'chromosome', '3p', '(', 'refs', '5', ',', '6', ')']"
3748,"['Consequently', ',', 'sporadic', 'and', 'VHL-associated', 'forms', 'of', 'renal', 'cell', 'carcinoma', 'might', 'both', 'result', 'from', 'alterations', 'causing', 'loss', 'of', 'function', 'of', 'the', 'same', 'tumour', 'suppressor', 'gene', 'on', 'this', 'chromosome']"
3749,[]
3750,"['Tightly', 'linked', 'flanking', 'markers', 'for', 'the', 'Lowe', 'oculocerebrorenal', 'syndrome', ',', 'with', 'application', 'to', 'carrier', 'assessment.', 'The', 'Lowe', 'oculocerebrorenal', 'syndrome', '(', 'OCRL', ')', 'is', 'characterized', 'by', 'congenital', 'cataract', ',', 'mental', 'retardation', ',', 'and', 'defective', 'renal', 'tubular', 'function']"
3751,"['A', 'map', 'assignment', 'of', 'OCRL', 'to', 'Xq24-q26', 'has', 'been', 'made', 'previously', 'by', 'linkage', 'analysis', 'with', 'DXS42', 'at', 'Xq24-q26', '(', 'theta', '=', '0', ',', 'z', '=', '5']"
3752,"['09', ')', 'and', 'with', 'DXS10', 'at', 'Xq26', '(', 'theta', '=', '0', ',', 'z', '=', '6']"
3753,"['45', ')']"
3754,"['Two', 'additional', 'families', 'were', 'studied', 'and', 'three', 'additional', 'polymorphisms', 'were', 'identified', 'at', 'DXS42', 'by', 'using', 'a', '35-kb', 'sequence', 'isolated', 'with', 'the', 'probe', 'detecting', 'the', 'original', 'polymorphism', 'at', 'DXS42']"
3755,"['With', 'additional', 'OCRL', 'families', 'made', 'informative', 'for', 'DXS42', ',', 'theta', 'remained', '0', 'with', 'z', '=', '6']"
3756,"['63', ';', 'and', 'for', 'DXS10', 'theta', '=', '0']"
3757,"['03', 'and', 'z', '=', '7']"
3758,['07']
3759,"['Evidence', 'for', 'placing', 'OCRL', 'at', 'Xq25', 'also', 'comes', 'from', 'a', 'female', 'with', 'Lowe', 'syndrome', 'and', 'an', 'X', ';', '3', 'translocation']"
3760,"['We', 'have', 'used', 'the', 'Xq25', 'breakpoint', 'in', 'this', 'patient', 'to', 'determine', 'the', 'position', 'of', 'OCRL', 'relative', 'to', 'the', 'two', 'linked', 'markers']"
3761,"['Each', 'derivative', 'chromosome', 'was', 'isolated', 'away', 'from', 'its', 'normal', 'counterpart', 'in', 'somatic', 'cell', 'hybrids']"
3762,"['DXS42', 'was', 'mapped', 'to', 'the', 'derivative', 'chromosome', 'X', 'containing', 'Xpterq25', ',', 'and', 'DXS10', 'was', 'mapped', 'to', 'the', 'derivative', 'chromosome', '3', 'containing', 'Xq25-qter']"
3763,"['The', 'markers', 'DXS10', 'and', 'DXS42', 'therefore', 'show', 'tight', 'linkage', 'with', 'OCRL', 'in', 'six', 'families', 'and', 'flank', 'the', 'Xq25', 'breakpoint', 'in', 'a', 'female', 'patient', 'with', 'an', 'X', ';', '3', 'translocation']"
3764,"['Linkage', 'analysis', 'with', 'flanking', 'markers', 'was', 'used', 'to', 'assess', 'OCRL', 'carrier', 'status', 'in', 'women', 'at', 'risk']"
3765,"['Results', ',', 'when', 'compared', 'with', 'carrier', 'determination', 'by', 'ophthalmologic', 'examination', ',', 'indicated', 'that', 'the', 'slit-lamp', 'exam', 'can', 'be', 'a', 'sensitive', 'and', 'specific', 'method', 'of', 'carrier', 'determination', 'in', 'many', 'cases', 'Identification', 'of', 'a', 'single', 'nucleotide', 'change', 'in', 'the', 'hypoxanthine-guanine', 'phosphoribosyltransferase', 'gene', '(HPRTYale)', 'responsible', 'for', 'Lesch-Nyhan', 'syndrome']"
3766,"['Complete', 'deficiency', 'of', 'hypoxanthine-guanine', 'phosphoribosyltransferase', '(', 'HPRT', ')', 'causes', 'the', 'Lesch-Nyhan', 'syndrome']"
3767,"['Previous', 'characterization', 'of', 'a', 'mutant', 'form', 'of', 'HPRT', ',', 'HPRTYale', ',', 'from', 'a', 'subject', 'with', 'the', 'Lesch-Nyhan', 'syndrome', 'revealed', 'normal', 'mRNA', 'and', 'protein', 'concentrations', ',', 'no', 'residual', 'catalytic', 'activity', ',', 'and', 'cathodal', 'migration', 'upon', 'PAGE']"
3768,"['We', 'have', 'cloned', 'and', 'sequenced', 'HPRTYale', 'cDNA']"
3769,"['The', 'nucleotide', 'sequence', 'of', 'full-length', 'HPRTYale', 'cDNA', 'revealed', 'a', 'single', 'nucleotide', 'substitution', 'compared', 'with', 'normal', 'HPRT', 'cDNA', 'G----C', 'at', 'nucleotide', 'position', '211']"
3770,"['This', 'transversion', 'predicts', 'substitution', 'of', 'arginine', 'for', 'glycine', 'at', 'amino', 'acid', 'position', '71', ',', 'explaining', 'the', 'cathodal', 'migration', 'of', 'HPRTYale']"
3771,"['Chou-Fasman', 'secondary', 'structure', 'analysis', 'predicts', 'a', 'change', 'in', 'the', 'probability', 'of', 'beta-turn', 'formation', 'in', 'the', 'region', 'containing', 'the', 'mutation']"
3772,"['Inclusion', 'of', 'the', 'bulky', 'arginine', 'side', 'chain', 'in', 'place', 'of', 'glycine', 'probably', 'disrupts', 'protein', 'folding', 'as', 'well']"
3773,"['Cloning', 'mutant', 'forms', 'of', 'cDNA', 'allows', 'identification', 'of', 'specific', 'mutations', ',', 'provides', 'insight', 'into', 'mutational', 'mechanisms', ',', 'and', 'facilitates', 'structure-function', 'analysis', 'of', 'mutant', 'proteins']"
3774,[]
3775,"['Two', 'point', 'mutations', 'are', 'responsible', 'for', 'G6PD', 'polymorphism', 'in', 'Sardinia.', 'The', 'human', 'X-linked', 'gene', 'encoding', 'glucose', '6-phosphate', 'dehydrogenase', '(', 'G6PD', ')', 'is', 'highly', 'polymorphic', ';', 'more', 'than', '300', 'G6PD', 'variants', 'have', 'been', 'identified']"
3776,"['G6PD', 'deficiency', 'in', 'different', 'geographical', 'areas', 'appears', 'to', 'have', 'arisen', 'through', 'independent', 'mutational', 'events', ',', 'but', 'within', 'the', 'same', 'population', 'it', 'may', 'also', 'be', 'heterogeneous']"
3777,"['One', 'example', 'is', 'the', 'island', 'of', 'Sardinia', ',', 'where', 'careful', 'clinical', 'and', 'biochemical', 'studies', 'have', 'identified', 'four', 'different', 'G6PD', 'variants']"
3778,"['We', 'cloned', 'and', 'sequenced', 'the', 'four', 'G6PD', 'variants', 'from', 'Sardinia', 'and', 'found', 'that', 'only', 'two', 'mutations', 'are', 'responsible', 'for', 'G6PD', 'deficiency', 'in', 'this', 'area', 'one', 'mutation', 'is', 'the', 'cause', 'of', 'the', 'G6PD', 'Seattle-like', 'phenotype', ',', 'a', 'milder', 'form', 'of', 'G6PD', 'deficiency', ';', 'the', 'other', 'mutation', 'is', 'responsible', 'for', 'all', 'forms', 'of', 'very', 'severe', 'G6PD', 'deficiency', 'in', 'Sardinia', 'and', ',', 'possibly', ',', 'in', 'the', 'Mediterranean']"
3779,[]
3780,"['Chronic', 'nonspherocytic', 'hemolytic', 'anemia', '(', 'CNSHA', ')', 'and', 'glucose', '6', 'phosphate', 'dehydrogenase', '(G6PD)', 'deficiency', 'in', 'a', 'patient', 'with', 'familial', 'amyloidotic', 'polyneuropathy', '(', 'FAP', ').', 'Molecular', 'study', 'of', 'a', 'new', 'variant', '(G6PD', 'Clinic)', 'with', 'markedly', 'acidic', 'pH', 'optimum.', 'A', 'new', 'glucose-6-phosphate', 'dehydrogenase', '(', 'G6PD', ')', 'variant', 'with', 'severe', 'erythrocytic', 'G6PD', 'deficiency', 'and', 'a', 'unique', 'pH', 'optimum', 'is', 'described', 'in', 'a', 'young', 'patient', 'with', 'chronic', 'nonspherocytic', 'hemolytic', 'anemia', '(', 'CNSHA', ')', 'and', 'familial', 'amyloidotic', 'polyneuropathy', '(', 'FAP', ')']"
3781,"['Chronic', 'hemolysis', 'was', 'present', 'in', 'the', 'absence', 'of', 'infections', ',', 'oxidant', 'drugs', 'or', 'ingestion', 'of', 'faba', 'beans']"
3782,"['Residual', 'enzyme', 'activity', 'was', 'about', '2']"
3783,"['6', '%', 'and', '63', '%', 'of', 'normal', 'activity', 'in', 'erythrocytes', 'and', 'leucocytes', ',', 'respectively']"
3784,"['A', 'molecular', 'study', 'using', 'standard', 'methods', 'showed', 'G6PD', 'in', 'the', 'patient', 'to', 'have', 'normal', 'electrophoretic', 'mobility', '(', 'at', 'pH', '7']"
3785,"['0', ',', '8']"
3786,"['0', 'and', '8']"
3787,"['8', ')', ',', 'normal', 'apparent', 'affinity', 'for', 'substrates', '(', 'Km', ',', 'G6P', 'and', 'NADP', ')', 'and', 'a', 'slightly', 'abnormal', 'utilization', 'of', 'substrate', 'analogues', '(', 'decreased', 'deamino-NADP', 'and', 'increased', '2-deoxyglucose-6-phosphate', 'utilization', ')']"
3788,"['Heat', 'stability', 'was', 'found', 'to', 'be', 'markedly', 'decreased', '(', '8', '%', 'of', 'residual', 'activity', 'after', '20', 'min', 'of', 'incubation', 'at', '46', 'degrees', 'C', ')', 'and', 'a', 'particular', 'characteristic', 'of', 'this', 'enzyme', 'was', 'a', 'biphasic', 'pH', 'curve', 'with', 'a', 'greatly', 'increased', 'activity', 'at', 'low', 'pH']"
3789,"['Although', 'molecular', 'characteristics', 'of', 'this', 'variant', 'closely', 'resemble', 'those', 'of', 'G6PD', 'Bangkok', 'and', 'G6PD', 'Duarte', ',', 'it', 'can', 'be', 'distinguished', 'from', 'these', 'and', 'all', 'other', 'previously', 'reported', 'variants', 'by', 'virtue', 'of', 'its', 'unusual', 'pH', 'curve']"
3790,"['Therefore', 'the', 'present', 'variant', 'has', 'been', 'designated', 'G6PD', 'Clinic', 'to', 'distinguish', 'it', 'from', 'other', 'G6PD', 'variants', 'previously', 'described', 'Molecular', 'detection', 'of', 'chromosomal', 'translocations', 'that', 'disrupt', 'the', 'putative', 'retinoblastoma', 'susceptibility', 'locus.', 'A', 'candidate', 'DNA', 'sequence', 'with', 'many', 'of', 'the', 'properties', 'predicted', 'for', 'the', 'retinoblastoma', 'susceptibility', '(', 'RB1', ')', 'locus', 'has', 'been', 'cloned', '(', 'S']"
3791,['H']
3792,"['Friend', ',', 'R']"
3793,"['Bernards', ',', 'S']"
3794,"['Rogelj', ',', 'R']"
3795,['A']
3796,"['Weinberg', ',', 'J']"
3797,['M']
3798,"['Rapaport', ',', 'D']"
3799,['M']
3800,"['Albert', ',', 'and', 'T']"
3801,['P']
3802,"['Dryja', ',', 'Nature', '[', 'London', ']', '323', '643-645', ',', '1986', ')']"
3803,"['The', 'large', 'size', 'of', 'this', 'gene', '(', 'ca']"
3804,"['200', 'kilobases', '[', 'kb', ']', ')', 'and', 'its', 'multiple', 'dispersed', 'exons', '(', 'Wiggs', 'et', 'al']"
3805,"[',', 'N']"
3806,['Engl']
3807,['J']
3808,['Med']
3809,"['318', '151-157', ',', '1988', ')', 'complicate', 'molecular', 'screening', 'strategies', 'important', 'in', 'prenatal', 'and', 'presymptomatic', 'diagnosis', 'and', 'in', 'carrier', 'detection']"
3810,"['Here', 'we', 'used', 'field', 'inversion', 'gel', 'electrophoresis', '(', 'FIGE', ')', 'to', 'construct', 'a', 'restriction', 'map', 'of', 'approximately', '1', ',', '000', 'kb', 'of', 'DNA', 'surrounding', 'the', 'RB1', 'locus', 'and', 'to', 'detect', 'the', 'translocation', 'breakpoints', 'in', 'three', 'retinoblastoma', 'patients']"
3811,"['DNA', 'probes', 'from', 'either', 'the', '5', 'or', '3', 'end', 'of', 'the', 'gene', 'were', 'used', 'to', 'detect', 'a', '250-kb', 'EagI', 'restriction', 'fragment', 'in', 'DNA', 'from', 'unaffected', 'individuals']"
3812,"['Both', 'probes', 'identified', 'an', 'additional', 'hybridizing', 'fragment', 'in', 'the', 'DNA', 'from', 'each', 'patient', ',', 'permitting', 'the', 'breakpoints', 'in', 'all', 'three', 'to', 'be', 'mapped', 'within', 'the', 'cloned', 'RB1', 'gene']"
3813,"['Analysis', 'of', 'the', 'breakpoint', 'in', 'one', 'translocation', 'cell', 'line', 'allowed', 'the', 'RB1', 'gene', 'to', 'be', 'oriented', 'with', 'its', '5', 'end', 'toward', 'the', 'centromere']"
3814,"['The', '5', 'end', 'of', 'the', 'gene', 'also', 'appeared', 'to', 'be', 'associated', 'with', 'a', 'clustering', 'of', 'sites', 'for', 'several', 'infrequently', 'cleaving', 'restriction', 'enzymes', ',', 'indicating', 'the', 'presence', 'of', 'an', 'HpaII', 'tiny', 'fragment', 'island']"
3815,"['The', 'detection', 'and', 'mapping', 'of', 'the', 'translocation', 'breakpoints', 'of', 'all', 'three', 'retinoblastoma', 'patients', 'to', 'within', 'the', 'putative', 'RB1', 'gene', 'substantiated', 'the', 'authenticity', 'of', 'this', 'candidate', 'sequence', 'and', 'demonstrated', 'the', 'utility', 'of', 'FIGE', 'in', 'detecting', 'chromosomal', 'rearrangements', 'affecting', 'this', 'locus']"
3816,"['Inherited', 'C3', 'deficiency', 'with', 'recurrent', 'infections', 'and', 'glomerulonephritis']"
3817,"['A', '10-year-old', 'Laotian', 'boy', 'had', 'homozygous', 'deficiency', 'of', 'the', 'third', 'component', 'of', 'complement', 'and', 'recurrent', 'bacterial', 'infections', 'beginning', 'at', 'age', '5', 'months']"
3818,"['Cellular', 'and', 'humoral', 'immunity', 'were', 'normal', ',', 'as', 'were', 'polymorphonuclear', 'leukocyte', 'chemotaxis', 'and', 'bactericidal', 'activities']"
3819,"['Serum', 'complement-mediated', 'hemolytic', ',', 'chemotactic', ',', 'and', 'opsonic', 'activities', 'were', 'deficient']"
3820,"['In', 'vitro', 'addition', 'of', 'purified', 'C3', 'to', 'patient', 'serum', 'restored', 'hemolytic', 'complement', 'to', 'normal', 'levels', ',', 'and', 'plasma', 'infusion', 'during', 'each', 'of', 'four', 'episodes', 'of', 'pneumonia', 'significantly', 'enhanced', 'serum', 'opsonic', 'activity', 'for', 'as', 'long', 'as', '36', 'hours']"
